continent,year,problem_num,mean_score
Asia,2022,p5,4.546875
Asia,2022,p6,0.890625
Asia,2023,p1,6.072115384615383
Asia,2023,p2,3.9423076923077
Asia,2023,p3,1.8798076923076985
Asia,2023,p4,5.399038461538465
Asia,2023,p5,2.649038461538465
Asia,2023,p6,0.42307692307692496
Asia,2024,p1,5.63679245283019
Asia,2024,p2,3.264150943396223
Asia,2024,p3,0.5424528301886791
Asia,2024,p4,5.2547169811320735
Asia,2024,p5,1.9905660377358518
Asia,2024,p6,0.5613207547169815
Australia,1981,p1,4
Australia,1981,p2,0
Australia,1981,p3,0
Australia,1981,p4,2
Australia,1981,p5,0
Australia,1981,p6,2
Australia,1982,p1,5.5
Australia,1982,p2,0.25
Australia,1982,p3,1.75
Australia,1982,p4,2
Australia,1982,p5,3.5
Australia,1982,p6,3.5
Australia,1983,p1,1.8333333333333335
Australia,1983,p2,1.6666666666666665
Australia,1983,p3,3.3333333333333335
Australia,1983,p4,4
Australia,1983,p5,2.333333333333333
Australia,1983,p6,1.1666666666666665
Australia,1984,p1,4.833333333333333
Australia,1984,p2,3.6666666666666665
Australia,1984,p3,0.33333333333333337
Australia,1984,p4,3.6666666666666665
Australia,1984,p5,2.666666666666667
Australia,1984,p6,2
Australia,1985,p1,5.666666666666667
Australia,1985,p2,5.5
Australia,1985,p3,1.1666666666666665
Australia,1985,p4,3.1666666666666665
Australia,1985,p5,1.6666666666666665
Australia,1985,p6,2.333333333333333
Australia,1986,p1,5.666666666666667
Australia,1986,p2,6.166666666666667
Australia,1986,p3,0.5
Australia,1986,p4,3.1666666666666665
Australia,1986,p5,2.666666666666667
Australia,1986,p6,1.3333333333333335
Australia,1987,p1,3.5
Australia,1987,p2,3.8333333333333335
Australia,1987,p3,2.833333333333333
Australia,1987,p4,5.166666666666667
Australia,1987,p5,6.166666666666667
Australia,1987,p6,2.333333333333333
Australia,1988,p1,2.333333333333333
Australia,1988,p2,3.75
Australia,1988,p3,2
Australia,1988,p4,1.1666666666666665
Australia,1988,p5,2.583333333333333
Australia,1988,p6,0.41666666666666663
Australia,1989,p1,1.9166666666666665
Australia,1989,p2,3.916666666666667
Australia,1989,p3,1
Australia,1989,p4,3.25
Australia,1989,p5,3.5
Australia,1989,p6,2.083333333333333
Australia,1990,p1,1.6666666666666665
Australia,1990,p2,4
Australia,1990,p3,1.25
Australia,1990,p4,2.166666666666667
Australia,1990,p5,6
Australia,1990,p6,1.9166666666666665
Australia,1991,p1,3.0833333333333335
